Aircraft,Tail#,Flight Leg No,ATA Main,ATA Sub,ATA,ATA Description,LRU,DateAndTime,MDC Message,Status,Flight Phase,Type,Intermittent,Equation ID,Source,Diagnostic Data,Data Used to Determine Msg,ID,Flight#
AC15456,833SK,,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,12/13/2020 23:57,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-006902,AC15456P.CSM,,"350A ACSC 2 100002
350B ACSC 2 100003",40286708765b8d1801765e9327894897,
AC10249,604SK,32605,27,35,27-35,Stall Protection System (SPS),SPC,12/13/2020 23:57,NO R-AHC-3 BUS INPUT,LRU OK/INFO,AIR,Service,0,B1-007881,AC10249L.SMH,"270A SPC 001201
270B SPC 001212
350A SPC 000001
350B SPC 000202
351A SPC 000001
351B SPC 000042
370A SPC 000001
370B SPC 000002","351B SPC 000042
351 PFD 1 600000",40286708766b002f01766b67a301047d,3145
AC15456,833SK,,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,12/13/2020 23:57,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-007306,AC15456P.CSM,,"350A ACSC 1 100000
350B ACSC 1 100001",40286708765b8d1801765e9327894898,
AC10249,604SK,26643,34,21,34-21,Attitude and Heading Reference System (AHRS),AHC 2,12/13/2020 23:57,INTERNAL FAULT,FAILED,AIR,Fault,0,B1-005934,AC10249K.FMH,"350 AHC 2 02200E
351 AHC 2 600196",350 AHC 2 02200E,40286708766b002f01766b6794ef040d,3145
AC10249,604SK,26643,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,12/13/2020 23:57,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-006902,AC10249L.SMH,,"350A ACSC 2 100002
350B ACSC 2 100003",40286708766b002f01766b67a301047e,3145
AC15456,833SK,,22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,12/13/2020 23:57,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006952,AC15456P.CSM,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 6001A3",40286708765b8d1801765e9327994899,
AC10215,754SK,,33,42,33-42,NAVIGATION LIGHTS,L SEC NAV LT,12/13/2020 23:57,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007837,AC10215L.CFM,,,40286708765b8d1801765e9320f84890,
AC10249,604SK,26642,27,35,27-35,Stall Protection System (SPS),SPC,12/13/2020 23:57,NO R-AHC-3 BUS INPUT,LRU OK/INFO,AIR,Service,0,B1-007881,AC10249L.SMH,"270A SPC 001201
270B SPC 001212
350A SPC 000001
350B SPC 000202
351A SPC 000001
351B SPC 000042
370A SPC 000001
370B SPC 000002","351B SPC 000042
351 PFD 1 600000",40286708766b002f01766b67a301047f,3145
AC10249,604SK,26643,22,11,22-11,AUTOMATIC FLT CONTROL,FCC 1,12/13/2020 23:57,NO L-AHC-1 BUS INPUT,FAILED/WIRING,AIR,Fault,0,B1-246748,AC10249K.FMH,"071 FCC 1 010001
351 FCC 1 ------","071 FCC 1 010001
350 AHC 1 620001
350 AHC 1 620001
350 AHC 1 620001
270 AHC 4000 L 600031",40286708766b002f01766b6794ef040e,3145
AC15456,833SK,,22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,12/13/2020 23:57,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006987,AC15456P.CSM,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 6001A3",40286708765b8d1801765e932799489a,
AC10166,752EV,777,31,30,31-30,CREW FORCE MEAS SYS,L AIL FDR CFS,12/13/2020 23:56,L AIL FDR FORCE SENSOR,FAILED/WIRING,AIR,Service,0,B1-070156,AC10166B.SMH,,350 CTRL FORCE SNSR 000100,40286708765b8d1801765ef5821b50ec,3027
AC10166,752EV,777,22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,12/13/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,2,B1-006987,AC10166B.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",40286708765b8d1801765ef5822150ed,3027